feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Fimbriiglobus	Treatment	Exposed	0.676252998517137	0.563489410305364	35	5	0.238639021059161	0.417969139420997
Chlamydiales.Genus	Treatment	Exposed	0.0555555555555607	0.0572142945049374	35	1	0.338607910416934	0.417969139420997
Meiothermus	Treatment	Exposed	1.36146924444159	0.895544061795398	35	6	0.137967564719131	0.417969139420997
Delftia	Treatment	Exposed	-0.0588235294117637	0.0571152220591701	35	1	0.310542153869192	0.417969139420997
Aquicella	Treatment	Exposed	-0.0588235294117672	0.0571152220591701	35	1	0.310542153869164	0.417969139420997
SH.PL14	Treatment	Exposed	-0.291756774101962	0.245716778344584	35	6	0.243558457171764	0.417969139420997
ASV131	Treatment	Exposed	0.0555555555555555	0.0572142945049374	35	1	0.338607910416978	0.417969139420997
Dinghuibacter	Treatment	Exposed	-0.058823529411766	0.0571152220591701	35	1	0.310542153869173	0.417969139420997
Deltaproteobacteria.Genus	Treatment	Exposed	0.364280058424692	0.310653752685013	35	4	0.249342169414182	0.417969139420997
Pedosphaeraceae.Genus	Treatment	Exposed	0.0555555555555547	0.0572142945049374	35	1	0.338607910416985	0.417969139420997
Enterococcus	Treatment	Exposed	-0.420023039387078	0.27246446595117	35	3	0.13271394135439	0.417969139420997
Pir4_lineage	Treatment	Exposed	-0.208858050588962	0.153114288442809	35	2	0.181778568174219	0.417969139420997
Prevotella_7	Treatment	Exposed	-0.0588235294117643	0.0571152220591701	35	1	0.310542153869187	0.417969139420997
Candidatus_Ovatusbacter	Treatment	Exposed	-0.0588235294117678	0.0571152220591701	35	1	0.310542153869159	0.417969139420997
ASV163	Treatment	Exposed	0.0555555555555556	0.0572142945049374	35	1	0.338607910416977	0.417969139420997
X67.14.Genus	Treatment	Exposed	-0.582790572678584	0.40044025552231	35	5	0.155013359647739	0.417969139420997
ASV169	Treatment	Exposed	-0.0588235294117625	0.0571152220591701	35	1	0.310542153869202	0.417969139420997
Flavihumibacter	Treatment	Exposed	0.0555555555555541	0.0572142945049374	35	1	0.33860791041699	0.417969139420997
Proteobacteria.Genus	Treatment	Exposed	-0.0588235294117621	0.0571152220591702	35	1	0.310542153869206	0.417969139420997
Sphingomonadaceae.Genus	Treatment	Exposed	0.0555555555555582	0.0572142945049374	35	1	0.338607910416955	0.417969139420997
Brucella	Treatment	Exposed	0.0555555555555517	0.0572142945049374	35	1	0.33860791041701	0.417969139420997
Gemmata	Treatment	Exposed	-0.0588235294117642	0.0571152220591701	35	1	0.310542153869188	0.417969139420997
Saprospiraceae.Genus	Treatment	Exposed	0.0555555555555576	0.0572142945049375	35	1	0.33860791041696	0.417969139420997
Rubrivivax	Treatment	Exposed	-0.0588235294117643	0.0571152220591701	35	1	0.310542153869187	0.417969139420997
Pedomicrobium	Treatment	Exposed	0.055555555555557	0.0572142945049374	35	1	0.338607910416965	0.417969139420997
Nakamurella	Treatment	Exposed	0.0555555555555582	0.0572142945049374	35	1	0.338607910416955	0.417969139420997
Caedibacter	Treatment	Exposed	-0.0588235294117649	0.0571152220591701	35	1	0.310542153869183	0.417969139420997
CL500.3	Treatment	Exposed	-0.0588235294117643	0.0571152220591701	35	1	0.310542153869187	0.417969139420997
Chitinophagaceae.Genus	Treatment	Exposed	-0.230319348848661	0.172628783789834	35	2	0.191276525389797	0.417969139420997
Candidatus_Finniella	Treatment	Exposed	-0.0588235294117631	0.0571152220591701	35	1	0.310542153869197	0.417969139420997
Cellvibrio	Treatment	Exposed	-0.0588235294117631	0.0571152220591701	35	1	0.310542153869197	0.417969139420997
ASV246	Treatment	Exposed	0.0555555555555576	0.0572142945049374	35	1	0.33860791041696	0.417969139420997
Candidatus_Megaira	Treatment	Exposed	0.0555555555555559	0.0572142945049374	35	1	0.338607910416975	0.417969139420997
Cytophagales.Genus	Treatment	Exposed	-0.0588235294117631	0.0571152220591701	35	1	0.310542153869197	0.417969139420997
Romboutsia	Treatment	Exposed	0.0555555555555535	0.0572142945049374	35	1	0.338607910416995	0.417969139420997
Vampirovibrionales.Genus	Treatment	Exposed	0.0555555555555559	0.0572142945049374	35	1	0.338607910416975	0.417969139420997
cvE6.Genus	Treatment	Exposed	0.332088987655716	0.307646665623729	35	6	0.288214196739297	0.417969139420997
