feature	Cetobacterium	Aeromonas	Plesiomonas	Barnesiellaceae.Genus	Vibrio	ZOR0006	Mycoplasma	Staphylococcus	Mycobacterium	Acinetobacter	Gordonia	Crenobacter	Shewanella	Gammaproteobacteria.Genus	Paraclostridium	Pseudomonas	Flavobacterium	Burkholderiaceae.Genus	Paucibacter	Phreatobacter	Nocardia	Gemmataceae.Genus	Pseudorhodobacter	Bosea	Rhizobiales_Incertae_Sedis.Genus	Rhizobiales.Genus	Brevibacterium	Glutamicibacter	Chitinibacter	Chitinibacteraceae.Genus	Gemmobacter	Beijerinckiaceae.Genus	Citrobacter	Obscuribacterales.Genus	Rhodobacter	Exiguobacterium	Betaproteobacteriales_Incertae_Sedis.Genus	Fluviicola	Defluviimonas	Luteimonas	Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium	Pseudorhodoplanes	Pseudochrobactrum	Rhodococcus	Singulisphaera	Ensifer	Candidatus_Protochlamydia	Reyranella	Geobacillus	Tabrizicola	Microscillaceae.Genus	Shinella	Smaragdicoccus	Verrucomicrobiae.Genus	Simkaniaceae.Genus	Parachlamydiaceae.Genus	Fimbriiglobus	Chlamydiales.Genus	env.OPS_17.Genus	Unknown_Family.Genus	Meiothermus	PeM15.Genus	Delftia	Rhodopseudomonas	Mesorhizobium	Rhizobiaceae.Genus	Aquicella	SH.PL14	ASV131	Dinghuibacter	Deltaproteobacteria.Genus	ASV135	Pedosphaeraceae.Genus	Desulfarculaceae.Genus	Legionella	Enterococcus	Candidatus_Alysiosphaera	Pir4_lineage	Coxiella	Planctomycetales.Genus	Pirellula	Prevotella_7	Bacteria.Genus	Streptococcus	Candidatus_Ovatusbacter	ASV163	X67.14.Genus	ASV169	Thermus	Flavihumibacter	Proteobacteria.Genus	Faecalibaculum	Sphingomonadaceae.Genus	Brucella	Iamia	Clostridium_sensu_stricto_9	Gemmata	Saprospiraceae.Genus	Afipia	Deinococcus	Rubrivivax	Babeliaceae.Genus	Rhodovastum	Pedomicrobium	Nakamurella	Caedibacter	CL500.3	Chitinophagaceae.Genus	Candidatus_Finniella	Cellvibrio	Leucobacter	ASV246	Candidatus_Megaira	Cytophagales.Genus	Romboutsia	Vampirovibrionales.Genus	cvE6.Genus	Hydrogenophaga	Stenotrophomonas	Veillonella	Azospira	RCP2.54.Genus	Prevotella_6	IMCC26207	Ottowia	Chryseobacterium	Fusobacterium	Roseomonas	Xylophilus	Ideonella	Bdellovibrio	ASV323	Lachnospiraceae_NK4A136_group	Verrucomicrobiaceae.Genus	Rickettsia	Gaiellales.Genus	Prevotella	Herpetosiphon	Leptotrichia	X0319.6G20.Genus	Haemophilus	Thermoanaerobacterium	ASV385	Paracoccus	Lactobacillus	Blfdi19.Genus	Candidatus_Paracaedibacter	Alloprevotella	Corynebacterium_1	Myxococcales.Genus	Hyphomicrobium	Rothia	Muribaculaceae.Genus	Gemella	Babeliales.Genus	Paracaedibacteraceae.Genus	Lacunisphaera	Scardovia
ISF398	0.657152333744864	0.0256315760378853	0.100480937551825	0.0224068989662607	0	0.141664670438003	0.00228491403932263	0	0.000202693987359266	0.000571228509830658	0.00128987082864987	0.0107243546039175	0.00101346993679633	0	0.0224806058707549	0	0	0.000718642318819215	0	0.000792349223313494	0.000681788866572076	0.000663362140448506	0	0	0.00099504321067276	0.00112403029353775	0	7.37069044942785e-05	0	0.000294827617977114	0	0.00346422451123109	0.00274558219241187	0	0.000552801783707089	0	0	0	0	0	0.000221120713482835	0	0	0	0	0	5.52801783707089e-05	0	0.000294827617977114	0	0	0	0	0	0	0	0	0	0	0	0.000386961248594962	0	0.000221120713482835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000810775949437063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF401	0.774954508583079	0.0273935062372569	0.0543046938372832	0.0737618661346546	0	0.0518931006511302	0	0	0.00019731216977616	0	0.000449433275601254	0.00380374016179598	0.00372700765132747	0	0.00678534628285796	0	0	0.000570012934908908	0	0	0.0001644268081468	0	0	0	0.000208273956985947	0	0	0	0	0.000679630807006774	0	0.00029596825466424	0.000668669019796988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.57707232587201e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.67325104685068e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF402	0.778632786618466	0.0167152936800381	0.0403584837671018	0.0904927408199561	0	0.0603284938799707	0.00015111183438143	0	0	0	0.000302223668762859	0.00191795789791814	0.0046728428785642	0	0.00416138743911937	0	0	0.000616071324785828	0	0	0.000290599681502749	0	0	0	0	0	2.32479745202199e-05	0	0	0.000383591579583629	4.64959490404399e-05	0.000267351706982529	0.000406839554103849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.13679108207697e-05	0	0.00010461588534099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.64959490404399e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF408	0.734409364378283	0.0361524619663013	0.0763673046512896	0.0610538560808477	0	0.0642346910954796	0.00655252013014159	0	0.00148136030681426	0	0.001726739007943	0.00170856280785939	0.00669792973081048	0	0.00404420451860334	0.000181762000836105	4.54405002090263e-05	0.00019085010087791	9.99691004598579e-05	0.000145409600668884	9.99691004598579e-05	0	0	0	0.000163585800752495	0.000136321500627079	0	0.0001726739007943	0	0.000263554901212353	0	0.000381700201755821	0.0006906956031772	2.72643001254158e-05	0	0.00192667720886272	0	0	0	0	0	0	0.000427140701964847	0	0	0	1.81762000836105e-05	0	0	0	0	0.000263554901212353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81762000836105e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000136321500627079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.81762000836105e-05	0	0	0	0	0	0	0	1.81762000836105e-05	0	0.000145409600668884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF410	0.656053193150471	0.0153802113152553	0.123588195492635	0.00188674335085619	0	0.0924504241919534	0.000546504970592828	0	0.00597251860719305	0.000208192369749649	0.0399338989226045	0.00143132254202883	0.00382553479414979	0.00042939676260865	0.016252016863582	0.00582938635299016	0	0.000377348670171238	0	0.00029927653151512	0.00461926820382033	0.00072867329412377	0	0	0.00110602196429501	0.00200385155884037	0	0.000988913756310831	0	0.000923853640764066	0.000286264508405767	0.00247228439077708	0.000715661271014417	6.50601155467652e-05	0	0.0111382917816062	0	0	0.000117108207984177	0	0	0	0.00442408785718003	0.00102794982563889	7.80721386561183e-05	0	2.60240462187061e-05	0.000182168323530943	0.000143132254202883	0	0	0.000988913756310831	0	0	0	0.000234216415968355	0	0	0	0	0	0	0	0	0	0.000260240462187061	0	0.000195180346640296	0	0	0	0	0	0	6.50601155467652e-05	0	0	0	5.20480924374122e-05	0	0	0	0	0	0.000117108207984177	0	0	0	0	0	0	0	0	0	0	0	0	0	5.20480924374122e-05	5.20480924374122e-05	0	0	0	0	0	0.000273252485296414	0	0	0	0	0.000195180346640296	0	0	0	0	0	0	0.000793733409670536	0	0	0	5.20480924374122e-05	0	2.60240462187061e-05	0	0.000494456878155416	0	0	0.000195180346640296	0	0	0.000117108207984177	0	0	0	0.000104096184874824	0	0	0	0	0	0	0	0	9.10841617654713e-05	0	0	0	0.00013012023109353	0	0	0	0	0	0	0	0	0
ISF461	0.0036888938950214	0.551588195539536	0.382434106780806	0	0.000450551926109484	0.000225275963054742	0	0	0	0	0	0.00030975444920027	0.0504618157242622	0	0	0	0.00050687091687317	0	0	0	0	0	0	0	0	0	0	0	0.00639220545167831	0	0	0	0.00385785086731246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.44784861455283e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF463	0.39193083573487	0.408047817269719	0.0827196072152844	0	0	0.085067776710428	0	0	0.0042693990820792	0	0.00128081972462376	0.010673497705198	0.0042693990820792	0.00362898921976732	0	0.00117408474757178	0.0010673497705198	0.000747144839363859	0	0	0	0.00032020493115594	0	0	0	0	0	0	0	0	0	0.00138755470167574	0.00288184438040346	0.0005336748852599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF464	0.311357393198825	0.438666287771147	0.00814625367055035	0	0	0.0192289476176944	0	0	0.00161030595813205	0.0250071042909918	0.00246282087714313	0.0213128729752771	0.00378895519560481	0.0547504025764895	0	0.0549398503362698	0.0100407312683528	0.00113668655868144	0.00397840295538505	0	0	0.000947238798901203	0.0014208581983518	0	0.0128824476650564	0.00132613431846168	0	0	0.0074831865113195	0.0014208581983518	0	0.00293644027659373	0	0.00909349246945155	0	0	0.000378895519560481	0	0	0	0	0.00104196267879132	0	0	0	0	0.000189447759780241	0	0	0	0	0	0	0	0	0	0	0	0	0.00132613431846168	0	0	0	0	0.000378895519560481	0	0	0	0	0	0.000568343279340722	0.000378895519560481	0	0	0.000663067159230842	0	0	0	0	0	0	0	0.000473619399450601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000284171639670361	0	0	0	0	0	0	0	0	0	0	0.000378895519560481	0	0	0	0	0	0	0	0	0	0	0	0
ISF467	0	0.162087912087912	0	0	0	0	0	0	0.00961538461538462	0	0	0	0	0.53021978021978	0	0	0.0906593406593407	0	0	0	0	0	0.0123626373626374	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148351648351648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010989010989011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0123626373626374	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00686813186813187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00686813186813187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00961538461538462	0	0	0	0	0	0	0	0
ISF470	0.0652920962199313	0	0	0	0	0	0	0	0	0	0	0	0	0.0240549828178694	0	0	0	0	0.0206185567010309	0	0	0	0	0	0.0171821305841924	0	0	0	0	0	0	0	0	0	0.0515463917525773	0	0.742268041237113	0	0	0.0343642611683849	0	0	0	0	0	0	0	0	0.0274914089347079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0171821305841924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
