feature	Cetobacterium	Aeromonas	Plesiomonas	Barnesiellaceae.Genus	Vibrio	ZOR0006	Mycoplasma	Staphylococcus	Mycobacterium	Acinetobacter	Gordonia	Crenobacter	Shewanella	Gammaproteobacteria.Genus	Paraclostridium	Pseudomonas	Flavobacterium	Burkholderiaceae.Genus	Paucibacter	Phreatobacter	Nocardia	Gemmataceae.Genus	Pseudorhodobacter	Bosea	Rhizobiales_Incertae_Sedis.Genus	Rhizobiales.Genus	Brevibacterium	Glutamicibacter	Chitinibacter	Chitinibacteraceae.Genus	Gemmobacter	Beijerinckiaceae.Genus	Citrobacter	Obscuribacterales.Genus	Rhodobacter	Exiguobacterium	Betaproteobacteriales_Incertae_Sedis.Genus	Fluviicola	Defluviimonas	Luteimonas	Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium	Pseudorhodoplanes	Pseudochrobactrum	Rhodococcus	Singulisphaera	Ensifer	Candidatus_Protochlamydia	Reyranella	Geobacillus	Tabrizicola	Microscillaceae.Genus	Shinella	Smaragdicoccus	Verrucomicrobiae.Genus	Simkaniaceae.Genus	Parachlamydiaceae.Genus	Fimbriiglobus	Chlamydiales.Genus	env.OPS_17.Genus	Unknown_Family.Genus	Meiothermus	PeM15.Genus	Delftia	Rhodopseudomonas	Mesorhizobium	Rhizobiaceae.Genus	Aquicella	SH.PL14	ASV131	Dinghuibacter	Deltaproteobacteria.Genus	ASV135	Pedosphaeraceae.Genus	Desulfarculaceae.Genus	Legionella	Enterococcus	Candidatus_Alysiosphaera	Pir4_lineage	Coxiella	Planctomycetales.Genus	Pirellula	Prevotella_7	Bacteria.Genus	Streptococcus	Candidatus_Ovatusbacter	ASV163	X67.14.Genus	ASV169	Thermus	Flavihumibacter	Proteobacteria.Genus	Faecalibaculum	Sphingomonadaceae.Genus	Brucella	Iamia	Clostridium_sensu_stricto_9	Gemmata	Saprospiraceae.Genus	Afipia	Deinococcus	Rubrivivax	Babeliaceae.Genus	Rhodovastum	Pedomicrobium	Nakamurella	Caedibacter	CL500.3	Chitinophagaceae.Genus	Candidatus_Finniella	Cellvibrio	Leucobacter	ASV246	Candidatus_Megaira	Cytophagales.Genus	Romboutsia	Vampirovibrionales.Genus	cvE6.Genus	Hydrogenophaga	Stenotrophomonas	Veillonella	Azospira	RCP2.54.Genus	Prevotella_6	IMCC26207	Ottowia	Chryseobacterium	Fusobacterium	Roseomonas	Xylophilus	Ideonella	Bdellovibrio	ASV323	Lachnospiraceae_NK4A136_group	Verrucomicrobiaceae.Genus	Rickettsia	Gaiellales.Genus	Prevotella	Herpetosiphon	Leptotrichia	X0319.6G20.Genus	Haemophilus	Thermoanaerobacterium	ASV385	Paracoccus	Lactobacillus	Blfdi19.Genus	Candidatus_Paracaedibacter	Alloprevotella	Corynebacterium_1	Myxococcales.Genus	Hyphomicrobium	Rothia	Muribaculaceae.Genus	Gemella	Babeliales.Genus	Paracaedibacteraceae.Genus	Lacunisphaera	Scardovia
ISF410	50419	1182	9498	145	0	7105	42	0	459	16	3069	110	294	33	1249	448	0	29	0	23	355	56	0	0	85	154	0	76	0	71	22	190	55	5	0	856	0	0	9	0	0	0	340	79	6	0	2	14	11	0	0	76	0	0	0	18	0	0	0	0	0	0	0	0	0	20	0	15	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	21	0	0	0	0	15	0	0	0	0	0	0	61	0	0	0	4	0	2	0	38	0	0	15	0	0	9	0	0	0	8	0	0	0	0	0	0	0	0	7	0	0	0	10	0	0	0	0	0	0	0	0	0
ISF461	131	19588	13581	0	16	8	0	0	0	0	0	11	1792	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF463	3672	3823	775	0	0	797	0	0	40	0	12	100	40	34	0	11	10	7	0	0	0	3	0	0	0	0	0	0	0	0	0	13	27	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF464	3287	4631	86	0	0	203	0	0	17	264	26	225	40	578	0	580	106	12	42	0	0	10	15	0	136	14	0	0	79	15	0	31	0	96	0	0	4	0	0	0	0	11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	4	0	0	0	0	0	6	4	0	0	7	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ISF467	0	118	0	0	0	0	0	0	7	0	0	0	0	386	0	0	66	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
ISF470	19	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	15	0	216	0	0	10	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF471	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF473	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF476	69808	11764	1799	5186	0	2538	45	0	176	41	63	482	751	659	213	264	241	122	0	133	0	31	56	0	74	80	0	0	283	39	0	47	63	97	16	0	0	0	8	0	0	0	0	0	19	0	8	24	0	0	0	0	14	0	0	53	0	0	0	23	0	0	0	14	0	17	0	0	0	0	4	17	0	0	6	0	0	0	3	0	0	0	3	10	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ISF524	45900	964	2027	4907	0	1785	232	0	4	0	11	305	723	0	118	0	0	61	0	0	0	0	0	0	0	0	0	0	0	22	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF525	33437	546	971	1645	0	2180	0	0	93	0	208	177	217	5	21	10	0	53	0	4	54	0	0	0	0	7	0	19	0	33	0	15	42	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF526	54610	1966	1226	4965	0	4306	0	0	83	5	603	291	488	7	39	0	11	52	0	0	134	10	0	0	18	13	0	6	0	42	0	24	73	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	25	0	0	0	5	0	2	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF529	46976	2217	2458	7666	0	8864	0	0	18	0	14	360	587	16	141	0	0	278	119	0	0	5	0	0	6	5	0	10	0	54	15	0	12	0	0	12	0	73	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF530	45416	1617	3002	5960	0	7238	0	0	60	0	15	268	442	23	216	2	0	449	157	6	0	8	0	12	25	54	0	16	0	95	22	0	37	0	0	16	0	114	0	0	0	9	16	0	2	0	0	0	3	0	0	12	0	32	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	18	4	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF535	29325	271	963	4612	0	3746	0	0	0	0	4	137	157	5	74	0	0	91	29	0	0	0	0	0	0	0	0	12	0	22	8	0	10	0	0	7	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF406	45426	1971	3299	4298	0	6467	0	0	108	23	82	312	422	0	447	14	0	29	0	0	12	0	0	0	13	20	0	0	0	16	0	14	42	0	0	166	0	2	0	0	0	0	25	0	0	14	0	0	8	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF474	18077	16680	356	82	0	303	0	0	0	80	0	93	539	60	0	90	110	14	0	13	0	0	0	0	7	0	0	0	235	0	0	0	29	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF537	36186	505	932	2506	0	4044	15	0	258	0	55	244	327	6	38	5	0	79	5	0	12	9	0	0	0	0	0	0	0	97	9	12	16	0	0	0	0	0	0	0	0	5	0	0	0	15	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISF541	24495	934	925	1375	0	794	10054	33	85	7	82	79	343	124	46	7	82	248	37	0	16	24	0	0	0	5	0	0	634	0	42	12	0	0	0	0	0	45	0	0	0	0	0	15	0	0	3	9	0	0	57	0	0	39	0	3	0	0	32	0	0	4	0	0	0	0	9	0	0	7	0	0	0	0	0	0	0	0	0	0	0	120	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	8	3	0	5	0	0	0	5	0	0	0	0	0	31	6	0	24	0	0	0	24	0	0	0	2	0	0	0	0	0	10	0	10	0	4	0	0	0	0	0	0	6	0	0	0	4	0	6	0	0	5	2
